"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"83","Imports",68,"Bolivia",76,"Brazil","160250",32912,65816,1.99975692756441,2014-05-01
"84","Imports",826,"United Kingdom",76,"Brazil","160250",2443150,12496323,5.11484067699486,2014-08-01
"85","Imports",703,"Slovakia",76,"Brazil","160250",13,98,7.53846153846154,2015-04-01
"86","Imports",68,"Bolivia",76,"Brazil","160250",88925,177004,1.99048636491425,2014-08-01
"87","Imports",52,"Barbados",76,"Brazil","160250",44764,178392,3.98516665177375,2015-04-01
"88","Imports",842,"United States of America",76,"Brazil","160250",NA,19404085,NA,2014-08-01
"89","Imports",554,"New Zealand",76,"Brazil","160250",18528,71503,3.85918609671848,2015-04-01
"90","Imports",703,"Slovakia",76,"Brazil","160250",13,152,11.6923076923077,2014-08-01
"91","Imports",616,"Poland",76,"Brazil","160250",18,210,11.6666666666667,2014-05-01
"92","Imports",203,"Czech Rep.",76,"Brazil","160250",28,334,11.9285714285714,2015-04-01
"93","Imports",203,"Czech Rep.",76,"Brazil","160250",117,1434,12.2564102564103,2014-08-01
"94","Imports",233,"Estonia",76,"Brazil","160250",10,181,18.1,2015-04-01
"95","Imports",842,"United States of America",76,"Brazil","160250",NA,26755541,NA,2015-04-01
"96","Imports",56,"Belgium",76,"Brazil","160250",119200,703196,5.89929530201342,2014-05-01
"97","Imports",97,"EU-27",76,"Brazil","160250",3818600,21027360,5.50656261457079,2014-05-01
"98","Imports",152,"Chile",76,"Brazil","160250",24043,141221,5.87368464833839,2015-04-01
"99","Exports",97,"EU-27",76,"Brazil","160250",100,2817,28.17,2014-05-01
"100","Imports",28,"Antigua and Barbuda",76,"Brazil","160250",18083,42042,2.32494608195543,2014-08-01
"101","Imports",276,"Germany",76,"Brazil","160250",120350,728089,6.04976319069381,2015-04-01
"102","Imports",616,"Poland",76,"Brazil","160250",4,29,7.25,2015-04-01
"103","Imports",56,"Belgium",76,"Brazil","160250",261300,1743677,6.67308457711443,2014-08-01
"104","Imports",826,"United Kingdom",76,"Brazil","160250",1853059,9197892,4.96362609069652,2015-04-01
"105","Imports",344,"China, Hong Kong SAR",76,"Brazil","160250",611485,718630,1.17522097843774,2015-04-01
"106","Imports",251,"France",76,"Brazil","160250",131924,903676,6.84997422758558,2014-08-01
"107","Imports",276,"Germany",76,"Brazil","160250",114200,766922,6.71560420315236,2014-08-01
"108","Imports",608,"Philippines",76,"Brazil","160250",59862,12929,0.215980087534663,2014-04-01
"109","Imports",818,"Egypt",76,"Brazil","160250",NA,629918,NA,2014-04-01
"110","Imports",591,"Panama",76,"Brazil","160250",34320,177875,5.182837995338,2015-04-01
"111","Imports",36,"Australia",76,"Brazil","160250",97920,436199,4.4546466503268,2015-04-01
"112","Imports",246,"Finland",76,"Brazil","160250",7000,54512,7.78742857142857,2015-04-01
"113","Imports",600,"Paraguay",76,"Brazil","160250",4992,9302,1.86338141025641,2015-04-01
"114","Imports",528,"Netherlands",76,"Brazil","160250",217000,1115188,5.13911520737327,2014-08-01
"115","Imports",97,"EU-27",76,"Brazil","160250",NA,16334648,NA,2015-04-01
"116","Imports",470,"Malta",76,"Brazil","160250",33800,179473,5.30985207100592,2014-08-01
"117","Imports",31,"Azerbaijan",76,"Brazil","160250",6691,4803,0.71782992078912,2014-04-01
"118","Imports",757,"Switzerland",76,"Brazil","160250",32301,353842,10.9545215318411,2014-04-01
"119","Imports",724,"Spain",76,"Brazil","160250",36500,224228,6.14323287671233,2014-08-01
"120","Imports",97,"EU-27",76,"Brazil","160250",NA,20135869,NA,2014-08-01
"121","Imports",702,"Singapore",76,"Brazil","160250",18295,77845,4.2549877015578,2014-04-01
"122","Imports",381,"Italy",76,"Brazil","160250",265923,2388460,8.9817729192285,2015-04-01
"123","Imports",132,"Cabo Verde",76,"Brazil","160250",3667,9945,2.71202617943823,2014-04-01
"124","Imports",634,"Qatar",76,"Brazil","160250",4896,26347,5.38133169934641,2014-04-01
"125","Imports",528,"Netherlands",76,"Brazil","160250",110300,492374,4.46395285584769,2015-04-01
"126","Imports",124,"Canada",76,"Brazil","160250",294199,1511180,5.13659121886886,2014-04-01
"127","Imports",480,"Mauritius",76,"Brazil","160250",19584,119073,6.08011642156863,2014-04-01
"128","Imports",36,"Australia",76,"Brazil","160250",38250,194642,5.08867973856209,2014-08-01
"129","Imports",724,"Spain",76,"Brazil","160250",34900,189031,5.41636103151862,2015-04-01
"130","Imports",591,"Panama",76,"Brazil","160250",12913,31200,2.4161697514133,2014-08-01
"131","Imports",608,"Philippines",76,"Brazil","160250",17136,3681,0.214810924369748,2014-08-01
"132","Imports",56,"Belgium",76,"Brazil","160250",231755,1477176,6.37386895644107,2015-04-01
"133","Imports",757,"Switzerland",76,"Brazil","160250",47233,465260,9.85031651599517,2014-08-01
"134","Imports",616,"Poland",76,"Brazil","160250",25,306,12.24,2014-04-01
"135","Imports",858,"Uruguay",76,"Brazil","160250",20177,55241,2.7378202904297,2014-04-01
"136","Imports",246,"Finland",76,"Brazil","160250",5928,47657,8.03930499325236,2014-08-01
