period,trade_value_usd,origin,destin,period_date
201404,19853,Germany,Ireland,2014-04-01
201404,17266,Lithuania,Ireland,2014-04-01
201404,423768,Netherlands,Ireland,2014-04-01
201404,544,India,Ireland,2014-04-01
201404,68384,Spain,Ireland,2014-04-01
201404,85918,United Kingdom,Ireland,2014-04-01
201404,19,Dominica,Antigua and Barbuda,2014-04-01
201404,2493,United States of America,Antigua and Barbuda,2014-04-01
201408,33,Belgium,Romania,2014-08-01
201408,76,Bulgaria,Romania,2014-08-01
201408,205,France,Romania,2014-08-01
201408,217,Germany,Romania,2014-08-01
201408,95774,Hungary,Romania,2014-08-01
201408,2163,Italy,Romania,2014-08-01
201408,78,Slovenia,Romania,2014-08-01
201408,1955,TFYR of Macedonia,Romania,2014-08-01
201404,165880,Iran,Azerbaijan,2014-04-01
201404,10253,Portugal,Switzerland,2014-04-01
201404,2833,Eritrea,Switzerland,2014-04-01
201404,4377,France,Switzerland,2014-04-01
201404,1825,Germany,Switzerland,2014-04-01
201404,48469,Italy,Switzerland,2014-04-01
201404,8542,Morocco,Switzerland,2014-04-01
201404,457493,Netherlands,Switzerland,2014-04-01
201404,1970493,Spain,Switzerland,2014-04-01
201404,6,Tunisia,Switzerland,2014-04-01
201404,26680,Turkey,Switzerland,2014-04-01
201408,652,Belgium,Spain,2014-08-01
201408,333,Ecuador,Spain,2014-08-01
201408,919,France,Spain,2014-08-01
201408,26739,Germany,Spain,2014-08-01
201408,42372,Greece,Spain,2014-08-01
201408,27817,Netherlands,Spain,2014-08-01
201408,2450,Poland,Spain,2014-08-01
201408,5659,Portugal,Spain,2014-08-01
201408,2743,Romania,Spain,2014-08-01
201504,6921,Austria,Italy,2015-04-01
201504,370,Bulgaria,Italy,2015-04-01
201504,22578,France,Italy,2015-04-01
201504,191408,Germany,Italy,2015-04-01
201404,4492,Australia,Singapore,2014-04-01
201404,5095,Indonesia,Singapore,2014-04-01
201404,4395,Japan,Singapore,2014-04-01
201404,795578,Malaysia,Singapore,2014-04-01
201404,913,Netherlands,Singapore,2014-04-01
201404,22349,India,Singapore,2014-04-01
201404,77719,Thailand,Singapore,2014-04-01
201404,534,United States of America,Singapore,2014-04-01
201504,812,Croatia,Italy,2015-04-01
201504,27091,Netherlands,Italy,2015-04-01
201504,6,Slovenia,Italy,2015-04-01
201504,1169734,Spain,Italy,2015-04-01
201404,414,Italy,Ethiopia,2014-04-01
201404,5,South Africa,Zambia,2014-04-01
201404,5513,Italy,Qatar,2014-04-01
201504,73200,China,Kyrgyzstan,2015-04-01
201504,2329,Uzbekistan,Kyrgyzstan,2015-04-01
201504,12029,Italy,Malta,2015-04-01
201504,3277,Netherlands,Malta,2015-04-01
201404,1374,Chile,Qatar,2014-04-01
201404,3105,Colombia,Qatar,2014-04-01
201404,6432,Costa Rica,Qatar,2014-04-01
201404,24150,Jordan,Qatar,2014-04-01
201404,6037,Kenya,Qatar,2014-04-01
201404,170,Lebanon,Qatar,2014-04-01
201404,902,Morocco,Qatar,2014-04-01
201404,13071,Oman,Qatar,2014-04-01
201404,669,Netherlands,Qatar,2014-04-01
201404,1033,Peru,Qatar,2014-04-01
201404,147860,Saudi Arabia,Qatar,2014-04-01
201404,4843,India,Qatar,2014-04-01
201404,6869,Spain,Qatar,2014-04-01
201404,1504,United Kingdom,Qatar,2014-04-01
201404,1833,United Rep. of Tanzania,Qatar,2014-04-01
201404,175,United Kingdom,Bermuda,2014-04-01
201404,10768,United States of America,Bermuda,2014-04-01
201504,1753991,Belgium,Netherlands,2015-04-01
201504,2479,Czech Rep.,Netherlands,2015-04-01
201504,67563,Germany,Netherlands,2015-04-01
201504,1143,Italy,Netherlands,2015-04-01
201504,3018,Slovenia,Netherlands,2015-04-01
201504,1298772,Spain,Netherlands,2015-04-01
201504,172,Egypt,Netherlands,2015-04-01
201504,6618,United Kingdom,Netherlands,2015-04-01
201404,171,New Zealand,Fiji,2014-04-01
201404,12010,South Africa,Mozambique,2014-04-01
201404,323,Australia,Indonesia,2014-04-01
201504,16175,Albania,Slovakia,2015-04-01
201504,1293,Austria,Slovakia,2015-04-01
201504,2878,Croatia,Slovakia,2015-04-01
201504,19067,Czech Rep.,Slovakia,2015-04-01
201504,394743,Germany,Slovakia,2015-04-01
201504,47779,Greece,Slovakia,2015-04-01
201504,2493,Hungary,Slovakia,2015-04-01
201504,20764,Netherlands,Slovakia,2015-04-01
201504,22643,Poland,Slovakia,2015-04-01
201504,3212,Romania,Slovakia,2015-04-01
201504,517625,Spain,Slovakia,2015-04-01
201504,901,TFYR of Macedonia,Slovakia,2015-04-01
201504,18432,Hungary,Spain,2015-04-01
201504,55361,Italy,Spain,2015-04-01
201504,252908,Morocco,Spain,2015-04-01
201504,22841,Netherlands,Spain,2015-04-01
201504,205,Portugal,Spain,2015-04-01
201504,2210,Belgium,Spain,2015-04-01
201504,248,Ecuador,Spain,2015-04-01
201504,15489,France,Spain,2015-04-01
201504,33490,Germany,Spain,2015-04-01
201504,21580,Greece,Spain,2015-04-01
201504,10186,Slovenia,Spain,2015-04-01
201408,275,United States of America,Panama,2014-08-01
201404,16000,Afghanistan,Kazakhstan,2014-04-01
201404,709376,China,Kazakhstan,2014-04-01
201404,5661,Iran,Kazakhstan,2014-04-01
201404,75,Kyrgyzstan,Kazakhstan,2014-04-01
201404,84,Netherlands,Kazakhstan,2014-04-01
201404,1738,Russian Federation,Kazakhstan,2014-04-01
201404,2835,Turkey,Kazakhstan,2014-04-01
201404,49846,Turkmenistan,Kazakhstan,2014-04-01
201404,463740,Uzbekistan,Kazakhstan,2014-04-01
201504,1320,Dominican Rep.,Belgium,2015-04-01
201504,747707,France,Belgium,2015-04-01
201504,247706,Germany,Belgium,2015-04-01
201504,1552,Israel,Belgium,2015-04-01
201504,12168,Italy,Belgium,2015-04-01
201504,7693742,Netherlands,Belgium,2015-04-01
201504,1174,Romania,Belgium,2015-04-01
201504,91637,Spain,Belgium,2015-04-01
201504,671,Uganda,Belgium,2015-04-01
201504,131,Dominica,Antigua and Barbuda,2015-04-01
201504,1045,United States of America,Antigua and Barbuda,2015-04-01
201504,9,Cameroon,Belgium,2015-04-01
201408,210961,Austria,Switzerland,2014-08-01
201408,3458,Belgium,Switzerland,2014-08-01
201408,167912,France,Switzerland,2014-08-01
201408,65,Germany,Switzerland,2014-08-01
201408,6234,Italy,Switzerland,2014-08-01
201408,68375,Netherlands,Switzerland,2014-08-01
201408,137681,Poland,Switzerland,2014-08-01
201408,37,Portugal,Switzerland,2014-08-01
201408,30115,Spain,Switzerland,2014-08-01
201408,15522,Turkey,Switzerland,2014-08-01
201408,55902,TFYR of Macedonia,Switzerland,2014-08-01
201404,20178,United States of America,Aruba,2014-04-01
201404,17697,Venezuela,Aruba,2014-04-01
201404,6513,Austria,Poland,2014-04-01
201404,11745,Belgium,Poland,2014-04-01
201404,52,Dem.Rep. of the Congo,Poland,2014-04-01
201404,16,Dominican Rep.,Poland,2014-04-01
201404,394,Ecuador,Poland,2014-04-01
201404,11447,France,Poland,2014-04-01
201404,506062,Germany,Poland,2014-04-01
201404,95209,Greece,Poland,2014-04-01
201404,606,Italy,Poland,2014-04-01
201404,925955,Netherlands,Poland,2014-04-01
201404,351452,Spain,Poland,2014-04-01
201404,40197,Turkey,Poland,2014-04-01
201408,615,Romania,Rep. of Moldova,2014-08-01
201404,17200,Australia,"China, Hong Kong SAR",2014-04-01
201404,272945,China,"China, Hong Kong SAR",2014-04-01
201404,163,France,"China, Hong Kong SAR",2014-04-01
201404,101,Germany,"China, Hong Kong SAR",2014-04-01
201404,34769,Japan,"China, Hong Kong SAR",2014-04-01
201404,4652,Rep. of Korea,"China, Hong Kong SAR",2014-04-01
201404,3109,Malaysia,"China, Hong Kong SAR",2014-04-01
201404,321,Netherlands,"China, Hong Kong SAR",2014-04-01
