node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Czech Rep.,201509,2,458,229,229,21,164678,7841.80952380952,28063,0.9944530568743338,9,36,19,0.017095841995855773,1,0.5261884757134628,0.00146342754877255,2015-09-01,-19,165136,9
Croatia,201509,2,52,26,26,20,28506,1425.3,5365,0.9963582883955459,9,6,21,5.997474591543563e-4,1,0.09108398625613605,1.6615334614884846e-4,2015-09-01,-18,28558,9
Mauritius,201509,2,156460,78230,78230,4,3072536,768134,1536215,0.9030906201184516,3,0,2,0.5056130431778074,3,9.81754110697689,0.49992985650863137,2015-09-01,-2,3228996,9
Norway,201509,2,410,205,205,9,208668,23185.3333333333,99501,0.996078018729852,5,77,2,0.03267221152029451,1,0.6667478160420752,0.001310055229250536,2015-09-01,-7,209078,9
Armenia,201509,0,0,0,0,2,60,30,30,1,1,0,0,5.63474300109127e-6,1,1.9171539940251745e-4,0,2015-09-01,-2,60,9
Barbados,201509,0,0,0,0,2,234,117,117,1,1,0,0,3.3793907878112923e-6,1,7.476900576698181e-4,0,2015-09-01,-2,234,9
Belarus,201509,0,0,0,0,5,1800,360,800,1,2,0,0,7.965342688311656e-7,1,0.005751461982075524,0,2015-09-01,-5,1800,9
Cyprus,201509,0,0,0,0,2,238,119,119,1,1,0,0,1.196918864916279e-7,2,7.604710842966525e-4,0,2015-09-01,-2,238,9
Iceland,201509,0,0,0,0,21,27853,1326.33333333333,4733,1,9,0,10,0.0016902960087267858,1,0.08899748365930531,0,2015-09-01,-21,27853,9
Montenegro,201509,0,0,0,0,2,14,7,7,1,1,0,0,1.9456778725794747e-11,3,4.473359319392074e-5,0,2015-09-01,-2,14,9
TFYR of Macedonia,201509,0,0,0,0,4,1034,258.5,397,1,2,0,0,1.3509427159662156e-7,2,0.0033038953830367176,0,2015-09-01,-4,1034,9
Chile,201509,0,0,0,0,6,25416,4236,9518,1,3,0,3,0.0032712991248665837,1,0.08121064318690639,0,2015-09-01,-6,25416,9
Panama,201509,0,0,0,0,2,8082,4041,4041,1,1,0,0,3.116183673720946e-8,4,0.0258240642995191,0,2015-09-01,-2,8082,9
Bosnia Herzegovina,201509,0,0,0,0,8,2802,350.25,831,1,4,0,2,2.8486655629424363e-4,2,0.008953109152097564,0,2015-09-01,-8,2802,9
Switzerland,201509,0,0,0,0,17,648779,38163.4705882353,257094,1,7,0,12,0.07607535263887862,1,2.0730154184827647,0,2015-09-01,-17,648779,9
Antigua and Barbuda,201509,0,0,0,0,2,146,73,73,1,1,0,0,4.352416902814518e-7,1,4.6650747187945913e-4,0,2015-09-01,-2,146,9
Singapore,201509,0,0,0,0,13,103712,7977.84615384615,25875,1,6,0,7,0.005152692248854718,1,0.33138645838056485,0,2015-09-01,-13,103712,9
Bermuda,201509,0,0,0,0,3,7898,2632.66666666667,3949,1,1,0,0,2.354478677997305e-5,1,0.025236137074684716,0,2015-09-01,-3,7898,9
Greenland,201509,0,0,0,0,9,4607,511.888888888889,1465,1,4,0,2,2.74796301339672e-4,2,0.014720547417456632,0,2015-09-01,-9,4607,9
Kuwait,201509,0,0,0,0,2,5244,2622,2622,1,1,0,0,1.8540224484692185e-8,4,0.016755925907780026,0,2015-09-01,-2,5244,9
