"","period","trade_value_usd","origin","destin","period_date"
"388",201512,105,"Spain","Greenland",2015-12-01
"389",201507,2700,"Kenya","Belarus",2015-07-01
"390",201507,124500,"Poland","Belarus",2015-07-01
"391",201507,300,"Russian Federation","Belarus",2015-07-01
"392",201507,11900,"Ukraine","Belarus",2015-07-01
"393",201507,1310,"Portugal","France",2015-07-01
"394",201507,14827,"Greece","Cyprus",2015-07-01
"395",201507,321,"Dominican Rep.","Finland",2015-07-01
"396",201507,423,"Estonia","Finland",2015-07-01
"397",201507,561765,"Germany","Finland",2015-07-01
"398",201507,37393,"Netherlands","Finland",2015-07-01
"399",201507,42330,"Norway","Finland",2015-07-01
"400",201507,12644,"Turkey","Finland",2015-07-01
"401",201507,36,"Mauritius","France",2015-07-01
"402",201507,2470,"Morocco","France",2015-07-01
"403",201507,2995743,"Netherlands","France",2015-07-01
"404",201507,4572,"Poland","France",2015-07-01
"405",201507,3550,"Serbia","France",2015-07-01
"406",201507,577,"South Africa","France",2015-07-01
"407",201507,995714,"Spain","France",2015-07-01
"408",201507,26354,"Turkey","France",2015-07-01
"409",201507,46812,"TFYR of Macedonia","France",2015-07-01
"410",201507,55323,"United Kingdom","France",2015-07-01
"411",201507,2554,"Austria","France",2015-07-01
"412",201507,905040,"Belgium","France",2015-07-01
"413",201507,13,"Dominican Rep.","France",2015-07-01
"414",201507,1224892,"France","France",2015-07-01
"415",201507,155829,"Germany","France",2015-07-01
"416",201507,109,"Hungary","France",2015-07-01
"417",201507,3624,"Italy","France",2015-07-01
"418",201507,5285,"Jordan","France",2015-07-01
"419",201507,1723,"Lebanon","France",2015-07-01
"420",201507,39571,"Spain","Hungary",2015-07-01
"421",201509,12523,"Bulgaria","Latvia",2015-09-01
"422",201509,15116,"Estonia","Latvia",2015-09-01
"423",201509,90493,"Lithuania","Latvia",2015-09-01
"424",201509,17669,"Netherlands","Latvia",2015-09-01
"425",201509,4952,"Poland","Latvia",2015-09-01
"426",201507,26691,"Germany","Hungary",2015-07-01
"427",201507,17120,"Italy","Hungary",2015-07-01
"428",201507,569208,"Romania","Hungary",2015-07-01
"429",201512,291427,"Thailand","Malaysia",2015-12-01
"430",201507,3579363,"Belgium","Netherlands",2015-07-01
"431",201507,4102,"Italy","Malta",2015-07-01
"432",201507,3915,"Netherlands","Malta",2015-07-01
"433",201507,706009,"Germany","Netherlands",2015-07-01
"434",201507,68329,"Austria","Netherlands",2015-07-01
"435",201507,582612,"Spain","Netherlands",2015-07-01
"436",201507,2111,"Suriname","Netherlands",2015-07-01
"437",201507,176,"Turkey","Netherlands",2015-07-01
"438",201507,9534,"United Kingdom","Netherlands",2015-07-01
"439",201507,82751,"Austria","Poland",2015-07-01
"440",201507,11515,"Czech Rep.","Poland",2015-07-01
"441",201507,3201,"France","Poland",2015-07-01
"442",201507,1353022,"Germany","Poland",2015-07-01
"443",201507,965476,"Hungary","Poland",2015-07-01
"444",201507,205167,"Romania","Poland",2015-07-01
"445",201507,2773,"Spain","Poland",2015-07-01
"446",201507,18567,"Ukraine","Poland",2015-07-01
"447",201507,4651,"Bulgaria","Romania",2015-07-01
"448",201507,61765,"Hungary","Romania",2015-07-01
"449",201507,8423,"Italy","Romania",2015-07-01
"450",201507,1001,"Netherlands","Romania",2015-07-01
"451",201507,69329,"Austria","Slovenia",2015-07-01
"452",201507,117808,"Bosnia Herzegovina","Slovenia",2015-07-01
"453",201507,23297,"Croatia","Slovenia",2015-07-01
"454",201507,61,"France","Slovenia",2015-07-01
"455",201507,15141,"Belgium","Spain",2015-07-01
"456",201507,1935,"Czech Rep.","Spain",2015-07-01
"457",201507,14790,"France","Spain",2015-07-01
"458",201507,152306,"Germany","Spain",2015-07-01
"459",201507,27567,"Greece","Spain",2015-07-01
"460",201507,19430,"Italy","Spain",2015-07-01
"461",201507,66,"Lithuania","Spain",2015-07-01
"462",201507,83702,"Netherlands","Spain",2015-07-01
"463",201507,99,"Poland","Spain",2015-07-01
"464",201507,61,"Germany","Slovenia",2015-07-01
"465",201507,224053,"Hungary","Slovenia",2015-07-01
"466",201507,17741,"Italy","Slovenia",2015-07-01
"467",201507,2032,"Netherlands","Slovenia",2015-07-01
"468",201507,3311,"Serbia","Slovenia",2015-07-01
"469",201507,51,"India","Slovenia",2015-07-01
"470",201507,1707,"Spain","Slovenia",2015-07-01
"471",201507,48880,"TFYR of Macedonia","Slovenia",2015-07-01
"472",201507,8357,"Portugal","Spain",2015-07-01
"473",201507,4321,"Romania","Spain",2015-07-01
"474",201507,791,"Iran","Malaysia",2015-07-01
"475",201507,1703,"Austria","Croatia",2015-07-01
"476",201507,556129,"Bosnia Herzegovina","Croatia",2015-07-01
"477",201507,13679,"Germany","Croatia",2015-07-01
"478",201507,12349,"Italy","Croatia",2015-07-01
"479",201507,55576,"Netherlands","Croatia",2015-07-01
"480",201507,24758,"Serbia","Croatia",2015-07-01
"481",201507,1409,"Slovenia","Croatia",2015-07-01
"482",201507,3176,"Spain","Croatia",2015-07-01
"483",201507,234290,"TFYR of Macedonia","Croatia",2015-07-01
"484",201507,39,"United Kingdom","Croatia",2015-07-01
"485",201507,10942,"Australia","Malaysia",2015-07-01
"486",201507,1986,"China","Malaysia",2015-07-01
"487",201507,1421,"China, Hong Kong SAR","Malaysia",2015-07-01
"488",201507,2369,"Japan","Malaysia",2015-07-01
"489",201507,349,"Netherlands","Malaysia",2015-07-01
"490",201507,697,"Viet Nam","Malaysia",2015-07-01
"491",201507,258421,"Thailand","Malaysia",2015-07-01
"492",201507,597,"Turkey","Malaysia",2015-07-01
"493",201507,544,"United States of America","Malaysia",2015-07-01
"494",201509,55870,"Estonia","Lithuania",2015-09-01
"495",201509,53663,"Latvia","Lithuania",2015-09-01
"496",201509,8486,"Netherlands","Lithuania",2015-09-01
"497",201509,113108,"Poland","Lithuania",2015-09-01
"498",201509,5220,"Spain","Lithuania",2015-09-01
"499",201507,2782,"Greece","Bulgaria",2015-07-01
"500",201507,11337,"Turkey","Bulgaria",2015-07-01
"501",201507,11062,"TFYR of Macedonia","Bulgaria",2015-07-01
"502",201507,152,"Portugal","Cabo Verde",2015-07-01
"503",201507,311,"Spain","Cabo Verde",2015-07-01
"504",201507,825228,"France","Belgium",2015-07-01
"505",201507,291113,"Germany","Belgium",2015-07-01
"506",201507,203375,"Hungary","Belgium",2015-07-01
