node,period,deg_out_wei,tot_out_wei,ave_out_wei,max_out_wei,deg_in_wei,tot_in_wei,ave_in_wei,max_in_wei,ratio,degree_val,bet_val,tri_no,eigen_val,net_group,tot_in_wei_n,tot_out_wei_n,period_date,degree_net,overall_flux,month
Curaçao,201502,2,5602,2801,2801,0,0,0,0,-1,1,0,0,1.2942892983512194e-8,2,0,0.001291124069720226,2015-02-01,2,5602,2
Bahamas,201502,2,174,87,87,0,0,0,0,-1,1,0,0,1.7114000609949152e-6,1,0,4.010274689955718e-5,2015-02-01,2,174,2
Bosnia Herzegovina,201502,10,144070,14407,50160,28,7132042,254715.785714286,1540002,0.9603991802215249,19,1301,98,0.0041523415994956766,1,1.6437613517414458,0.033204613481719554,2015-02-01,-18,7276112,2
Mongolia,201502,2,314,157,157,0,0,0,0,-1,1,0,0,3.088388615814499e-6,1,0,7.236932486471813e-5,2015-02-01,2,314,2
Nicaragua,201502,2,154,77,77,8,324590,40573.75,66980,0.999051560613899,5,98,3,5.549347843223596e-5,10,0.07481006101222566,3.549323576167704e-5,2015-02-01,-6,324744,2
Papua New Guinea,201502,2,404,202,202,0,0,0,0,-1,1,0,0,3.973595543913985e-6,1,0,9.311212498517874e-5,2015-02-01,2,404,2
United Rep. of Tanzania,201502,4,192,48,90,0,0,0,0,-1,2,0,1,8.740951228075566e-7,2,0,4.42513069236493e-5,2015-02-01,4,192,2
Cambodia,201502,2,410,205,205,0,0,0,0,-1,1,0,0,4.0326093391217214e-6,1,0,9.449497832654278e-5,2015-02-01,2,410,2
Mozambique,201502,4,700,175,345,12,5017304,418108.666666667,1775486,0.9997210046066125,8,551,13,5.094495572988443e-4,7,1.1563659335065277,1.6133288982580473e-4,2015-02-01,-8,5018004,2
TFYR of Macedonia,201502,2,29920,14960,14960,10,375282,37528.2,77147,0.8523205709744769,6,0,13,4.508060746701448e-4,1,0.08649332794229665,0.006895828662268682,2015-02-01,-8,405202,2
Seychelles,201502,2,50,25,25,0,0,0,0,-1,1,0,0,2.1001875899790343e-7,2,0,1.1523777844700339e-5,2015-02-01,2,50,2
Sierra Leone,201502,2,40,20,20,0,0,0,0,-1,1,0,0,1.680150071981388e-7,2,0,9.219022275760271e-6,2015-02-01,2,40,2
Togo,201502,4,269360,67340,134671,0,0,0,0,-1,2,0,1,2.8866944316952803e-6,2,0,0.06208089600496967,2015-02-01,4,269360,2
Uganda,201502,2,16,8,8,16,1547560,96722.5,649685,0.9999793225017705,9,234,17,0.002002919568158063,9,0.3566747528268891,3.6876089103041085e-6,2015-02-01,-14,1547576,2
Burkina Faso,201502,2,16,8,8,0,0,0,0,-1,1,0,0,6.720600287833582e-8,2,0,3.6876089103041085e-6,2015-02-01,2,16,2
Benin,201502,2,2,1,1,16,618540,38658.75,134671,0.9999935331796386,9,0,23,8.870211186782393e-4,6,0.14255835096121894,4.6095111378801357e-7,2015-02-01,-14,618542,2
Ghana,201502,2,100,50,50,0,0,0,0,-1,1,0,0,4.200375179985659e-7,2,0,2.3047555689400678e-5,2015-02-01,2,100,2
Grenada,201502,2,78,39,39,0,0,0,0,-1,1,0,0,3.2762926403889984e-7,2,0,1.7977093437732528e-5,2015-02-01,2,78,2
Guyana,201502,2,30,15,15,10,866330,86633,263021,0.9999307447250566,6,143,2,1.8117363565934512e-4,5,0.1996678892039849,6.914266706820203e-6,2015-02-01,-8,866360,2
Côte d'Ivoire,201502,2,22,11,11,0,0,0,0,-1,1,0,0,9.240825395874641e-8,2,0,5.070462251668149e-6,2015-02-01,2,22,2
Liberia,201502,2,20,10,10,0,0,0,0,-1,1,0,0,8.400750359768985e-8,2,0,4.6095111378801356e-6,2015-02-01,2,20,2
Rwanda,201502,4,26136,6534,11935,0,0,0,0,-1,2,0,0,5.349868265255356e-8,9,0,0.006023709154981761,2015-02-01,4,26136,2
Br. Virgin Isds,201502,2,69914,34957,34957,0,0,0,0,-1,1,0,0,5.885729136279696e-5,1,0,0.01611346808468759,2015-02-01,2,69914,2
Lesotho,201502,2,3064,1532,1532,0,0,0,0,-1,1,0,0,9.031209525514126e-11,7,0,7.061771063232368e-4,2015-02-01,2,3064,2
