"","trade_flow","reporter_code","reporter","partner_code","partner","commodity_code","netweight_kg","trade_value_usd","price_kg_usd","period_date"
"2641","Imports",300,"Greece",616,"Poland","020711",27015,36143,1.33788635942995,2015-12-01
"2642","Imports",300,"Greece",616,"Poland","020712",2200,3458,1.57181818181818,2015-12-01
"2643","Imports",300,"Greece",616,"Poland","020713",21575,15729,0.729038238702202,2015-12-01
"2644","Imports",300,"Greece",616,"Poland","020714",62761,143284,2.28301014961521,2015-12-01
"2645","Imports",768,"Togo",616,"Poland","020712",24000,18256,0.760666666666667,2014-11-01
"2646","Imports",768,"Togo",616,"Poland","020713",26000,19770,0.760384615384615,2014-11-01
"2647","Imports",768,"Togo",616,"Poland","020714",24000,18250,0.760416666666667,2014-11-01
"2648","Imports",398,"Kazakhstan",616,"Poland","020714",76293,87970,1.15305467080859,2014-11-01
"2649","Imports",344,"China, Hong Kong SAR",616,"Poland","020714",1450430,2604376,1.79558889432789,2014-11-01
"2650","Imports",807,"TFYR of Macedonia",616,"Poland","020712",14183,20716,1.46062187125432,2015-12-01
"2651","Imports",807,"TFYR of Macedonia",616,"Poland","020714",579735,444233,0.766269071213572,2015-12-01
"2652","Imports",204,"Benin",616,"Poland","020712",350000,413848,1.18242285714286,2014-11-01
"2653","Imports",204,"Benin",616,"Poland","020714",2225000,2630891,1.18242292134831,2014-11-01
"2654","Imports",372,"Ireland",616,"Poland","020714",21055,60269,2.8624554737592,2015-11-01
"2655","Imports",428,"Latvia",616,"Poland","020711",138651,177887,1.28298389481504,2015-11-01
"2656","Imports",428,"Latvia",616,"Poland","020712",3156,4439,1.40652724968314,2015-11-01
"2657","Imports",428,"Latvia",616,"Poland","020713",123856,109324,0.882670197648883,2015-11-01
"2658","Imports",428,"Latvia",616,"Poland","020714",98070,67791,0.691251147139798,2015-11-01
"2659","Imports",826,"United Kingdom",616,"Poland","020711",166781,388979,2.33227405999484,2015-12-01
"2660","Imports",826,"United Kingdom",616,"Poland","020712",125455,232146,1.85043242596947,2015-12-01
"2661","Imports",826,"United Kingdom",616,"Poland","020713",2689078,9357388,3.47977559594776,2015-12-01
"2662","Imports",826,"United Kingdom",616,"Poland","020714",1567644,5436737,3.46809415913307,2015-12-01
"2663","Imports",392,"Japan",616,"Poland","020714",41052,101613,2.4752265419468,2015-11-01
"2664","Imports",51,"Armenia",616,"Poland","020714",19860,25819,1.30005035246727,2015-11-01
"2665","Exports",826,"United Kingdom",616,"Poland","020713",64370,31888,0.495386049401895,2015-12-01
"2666","Exports",826,"United Kingdom",616,"Poland","020714",108126,175759,1.62550172946377,2015-12-01
"2667","Imports",208,"Denmark",616,"Poland","020711",9,50,5.55555555555556,2015-11-01
"2668","Imports",208,"Denmark",616,"Poland","020713",21051,87433,4.15338938767754,2015-11-01
"2669","Imports",208,"Denmark",616,"Poland","020714",163978,328290,2.00203685860298,2015-11-01
"2670","Exports",208,"Denmark",616,"Poland","020714",84271,47391,0.562364277153469,2015-11-01
"2671","Imports",300,"Greece",616,"Poland","020711",31770,45112,1.41995593327038,2015-11-01
"2672","Imports",300,"Greece",616,"Poland","020713",22920,15658,0.683158813263525,2015-11-01
"2673","Imports",300,"Greece",616,"Poland","020714",55291,128695,2.32759400264057,2015-11-01
"2674","Imports",620,"Portugal",616,"Poland","020713",19800,19769,0.998434343434343,2015-11-01
"2675","Imports",826,"United Kingdom",616,"Poland","020712",213109,388413,1.82260251796029,2015-11-01
"2676","Imports",826,"United Kingdom",616,"Poland","020713",4112138,9877222,2.4019675409726,2015-11-01
"2677","Imports",826,"United Kingdom",616,"Poland","020714",1846939,7164088,3.87889800366986,2015-11-01
"2678","Imports",826,"United Kingdom",616,"Poland","020711",204349,390654,1.91170008172293,2015-11-01
"2679","Exports",826,"United Kingdom",616,"Poland","020713",21444,16734,0.780358142137661,2015-11-01
"2680","Exports",826,"United Kingdom",616,"Poland","020714",152977,340211,2.22393562430954,2015-11-01
"2681","Imports",203,"Czech Rep.",616,"Poland","020712",904375,1143327,1.26421782999309,2015-11-01
"2682","Imports",203,"Czech Rep.",616,"Poland","020714",756470,686095,0.906969212262218,2015-11-01
"2683","Imports",203,"Czech Rep.",616,"Poland","020711",1776355,2356551,1.32662164938878,2015-11-01
"2684","Imports",203,"Czech Rep.",616,"Poland","020713",2595380,5239904,2.01893518482843,2015-11-01
"2685","Exports",203,"Czech Rep.",616,"Poland","020711",525,826,1.57333333333333,2015-11-01
"2686","Exports",203,"Czech Rep.",616,"Poland","020712",14082,15466,1.09828149410595,2015-11-01
"2687","Exports",203,"Czech Rep.",616,"Poland","020713",7770,16926,2.17837837837838,2015-11-01
"2688","Imports",233,"Estonia",616,"Poland","020712",660,1293,1.95909090909091,2015-11-01
"2689","Imports",233,"Estonia",616,"Poland","020713",12030,41795,3.47423108894431,2015-11-01
"2690","Imports",233,"Estonia",616,"Poland","020714",108229,302363,2.79373365733768,2015-11-01
"2691","Exports",348,"Hungary",616,"Poland","020712",30,165,5.5,2015-11-01
"2692","Exports",348,"Hungary",616,"Poland","020713",119715,21357,0.17839869690515,2015-11-01
"2693","Exports",348,"Hungary",616,"Poland","020714",7875,25056,3.18171428571429,2015-11-01
"2694","Imports",348,"Hungary",616,"Poland","020711",4205,5662,1.34649227110583,2015-11-01
"2695","Imports",348,"Hungary",616,"Poland","020713",52558,100416,1.91057498382739,2015-11-01
"2696","Imports",348,"Hungary",616,"Poland","020714",95033,164706,1.73314532846485,2015-11-01
"2697","Imports",372,"Ireland",616,"Poland","020711",4834,12868,2.66197765825403,2015-11-01
