period,partner,United Kingdom,Australia,Austria,Belgium,Canada,China,Comoros,Denmark,France,Czechia,French Polynesia,Germany,Ecuador,Greece,Bulgaria,Guinea,Haiti,India,Indonesia,Ireland,Italy,Jamaica,Latvia,Lebanon,Lithuania,Madagascar,Japan,Malta,Mauritius,Mexico,Morocco,Netherlands,Costa Rica,New Zealand,Panama,Papua New Guinea,Peru,Poland,Portugal,Rep. of Korea,Rep. of Moldova,Romania,Singapore,Malaysia,Slovakia,South Africa,Spain,Sri Lanka,Sweden,Estonia,Switzerland,Tonga,Turkey,USA,Israel,Ghana,Mauritania,Russian Federation,Uganda,United Rep. of Tanzania,Viet Nam
201408,Belgium,5806.0,,,,,,,,,,,394393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,France,88747.0,,,20001.0,,,,56568.0,,,,176903.0,,29944.0,,,,35620.0,,,81973.0,,,,,,,,,,,64303.0,,,,,,15541.0,21395.0,,,,,,,,104584.0,,29566.0,,,,,26034.0,,,,,,,
201408,Germany,50057.0,,118006.0,21306.0,,,,375274.0,120246.0,,,,,,,,,,,,113356.0,,,,,,,,,,,98192.0,,,,,,21672.0,,,,667782.0,,,,,,,46667.0,,155939.0,,,311429.0,,,,,,,
201408,India,7810.0,,,,,,,,99758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418000.0,,,,,,,
201408,Ireland,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,Italy,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,Jamaica,1897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,Lithuania,1097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,Madagascar,33337.0,,,200446.0,482617.0,,,,1930982.0,,,2368557.0,,,,,,272392.0,,,,,,,,,491468.0,,222195.0,,,,,,,,,33160.0,,,,,2103374.0,,,,,,,,343878.0,,,5239369.0,,,,,,,
201408,Poland,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,Spain,46256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,Turkey,5697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201408,USA,3250.0,,,271753.0,22782.0,,,,108833.0,,,167049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19046.0,,,,,,,,,,,,,,,,,,
201408,Uganda,87165.0,,,,,,,,231693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283176.0,,,,,,,
201408,World,348858.0,407868.0,127887.0,560950.0,537878.0,,,666619.0,2596380.0,23781.0,,4433256.0,,73487.0,,,,308012.0,1311909.0,66633.0,202262.0,,,,,,508942.0,,222195.0,,,226572.0,,,,,,88326.0,32723.0,,,710572.0,2178774.0,27982.0,,,109364.0,,180003.0,,551375.0,,,6913228.0,,,,30893.0,,,
201409,Australia,9946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201409,Austria,4726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24549.0,,,
201409,Belgium,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201409,France,371655.0,,36871.0,141214.0,,,,58277.0,,,,263954.0,,,,,,41365.0,,,321208.0,,,,,,,,,,,,,,,,,,34638.0,,,,27334.0,,,,67098.0,,66094.0,,,,17086.0,,,,,,,,
201409,Germany,180304.0,,332085.0,56519.0,,,,428376.0,17098.0,,,,,,,,,,,21924.0,161213.0,,,,,,,,,,,15868.0,,,,,,42279.0,,,,131572.0,,,,,47514.0,,,,154220.0,,,,,,,,,,
201409,Ireland,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201409,Italy,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201409,Jamaica,32327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201409,Lebanon,4697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201409,Lithuania,1121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
