period,partner,United Kingdom,France,Belgium,China,Czechia,Chile,Georgia,Azerbaijan,Germany,Greece,Bulgaria,Hungary,Ireland,Italy,Argentina,Austria,Canada,Croatia,Lithuania,Estonia,Latvia,Luxembourg,Malta,Netherlands,New Zealand,Poland,Portugal,Rep. of Moldova,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Denmark,Finland,Morocco,Norway,Turkey,USA
201606,Italy,4573.0,10187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201606,Lithuania,2940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201606,Poland,3807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201606,World,20836.0,33425.0,10311.0,,,,,,,,,,,100785.0,,12475.0,13850.0,,14937.0,,,,,,,,,,6984.0,,,,,3127.0,30697.0,6478.0,,,,
201607,France,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201607,Hungary,8332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201607,Ireland,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201607,Italy,1937.0,52589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6119.0,,,,,
201607,Lithuania,1774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201607,Poland,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201607,World,13774.0,89735.0,,,,,,,,,,,2681.0,2734.0,,10283.0,,,,,,,,,,,,,,,,,60905.0,,80709.0,,,,,80826.0
201608,France,1161.0,,6223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9733.0,,,,,
201608,Hungary,6820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201608,Ireland,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201608,Italy,348.0,33266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201608,Netherlands,7995.0,,,,,,,,,,,2357.0,,,,,,,,,,,,,,,,,,,,,,2008.0,54196.0,,,,,
